Id,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,YrSold,SalePrice
1,8450,7,2003,2003,706,150,856,1710,2,3,1,8,0,2,2008,208500
2,9600,6,1976,1976,978,284,1262,1262,2,3,1,6,1,2,2007,181500
3,11250,7,2001,2002,486,434,920,1786,2,3,1,6,1,2,2008,223500
4,9550,7,1915,1970,216,540,756,1717,1,3,1,7,1,3,2006,140000
5,14260,8,2000,2000,655,490,1145,2198,2,4,1,9,1,3,2008,250000
6,14115,5,1993,1995,732,64,796,1362,1,1,1,5,0,2,2009,143000
7,10084,8,2004,2005,1369,317,1686,1694,2,3,1,7,1,2,2007,307000
8,10382,7,1973,1973,859,216,1107,2090,2,3,1,7,2,2,2009,200000
9,6120,7,1931,1950,0,952,952,1774,2,2,2,8,2,2,2008,129900
10,7420,5,1939,1950,851,140,991,1077,1,2,2,5,2,1,2008,118000
11,11200,5,1965,1965,906,134,1040,1040,1,3,1,5,0,1,2008,129500
12,11924,9,2005,2006,998,177,1175,2324,3,4,1,11,2,3,2006,345000
13,12968,5,1962,1962,737,175,912,912,1,2,1,4,0,1,2008,144000
14,10652,7,2006,2007,0,1494,1494,1494,2,3,1,7,1,3,2007,279500
15,10920,6,1960,1960,733,520,1253,1253,1,2,1,5,1,1,2008,157000
16,6120,7,1929,2001,0,832,832,854,1,2,1,5,0,2,2007,132000
17,11241,6,1970,1970,578,426,1004,1004,1,2,1,5,1,2,2010,149000
18,10791,4,1967,1967,0,0,0,1296,2,2,2,6,0,2,2006,90000
19,13695,5,2004,2004,646,468,1114,1114,1,3,1,6,0,2,2008,159000
20,7560,5,1958,1965,504,525,1029,1339,1,3,1,6,0,1,2009,139000
21,14215,8,2005,2006,0,1158,1158,2376,3,4,1,9,1,3,2006,325300
22,7449,7,1930,1950,0,637,637,1108,1,3,1,6,1,1,2007,139400
23,9742,8,2002,2002,0,1777,1777,1795,2,3,1,7,1,2,2008,230000
24,4224,5,1976,1976,840,200,1040,1060,1,3,1,6,1,2,2007,129900
25,8246,5,1968,2001,188,204,1060,1060,1,3,1,6,1,1,2010,154000
26,14230,8,2007,2007,0,1566,1566,1600,2,3,1,7,1,3,2009,256300
27,7200,5,1951,2000,234,180,900,900,1,3,1,5,0,2,2010,134800
28,11478,8,2007,2008,1218,486,1704,1704,2,3,1,7,1,3,2010,306000
29,16321,5,1957,1997,1277,207,1484,1600,1,2,1,6,2,1,2006,207500
30,6324,4,1927,1950,0,520,520,520,1,1,1,4,0,1,2008,68500
31,8500,4,1920,1950,0,649,649,1317,1,3,1,6,0,1,2008,40000
32,8544,5,1966,2006,0,1228,1228,1228,1,3,1,6,0,1,2008,149350
33,11049,8,2007,2007,0,1234,1234,1234,2,3,1,7,0,2,2008,179900
34,10552,5,1959,1959,1018,380,1398,1700,1,4,1,6,1,2,2010,165500
35,7313,9,2005,2005,1153,408,1561,1561,2,2,1,6,1,2,2007,277500
36,13418,8,2004,2005,0,1117,1117,2452,3,4,1,9,1,3,2006,309000
37,10859,5,1994,1995,0,1097,1097,1097,1,3,1,6,0,2,2009,145000
38,8532,5,1954,1990,1213,84,1297,1297,1,3,1,5,1,2,2009,153000
39,7922,5,1953,2007,731,326,1057,1057,1,3,1,5,0,1,2010,109000
40,6040,4,1955,1955,0,0,0,1152,2,2,2,6,0,0,2008,82000
41,8658,6,1965,1965,643,445,1088,1324,2,3,1,6,1,2,2006,160000
42,16905,5,1959,1959,967,383,1350,1328,1,2,1,5,2,1,2007,170000
43,9180,5,1983,1983,747,0,840,884,1,2,1,5,0,2,2007,144000
44,9200,5,1975,1980,280,167,938,938,1,3,1,5,0,1,2008,130250
45,7945,5,1959,1959,179,465,1150,1150,1,3,1,6,0,1,2006,141000
46,7658,9,2005,2005,456,1296,1752,1752,2,2,1,6,1,2,2010,319900
47,12822,7,2003,2003,1351,83,1434,2149,1,1,1,6,1,2,2009,239686
48,11096,8,2006,2006,24,1632,1656,1656,2,3,1,7,0,3,2007,249700
49,4456,4,1920,2008,0,736,736,1452,2,2,3,8,0,0,2009,113000
50,7742,5,1966,1966,763,192,955,955,1,3,1,6,0,1,2007,127000
51,13869,6,1997,1997,182,612,794,1470,2,3,1,6,0,2,2007,177000
52,6240,6,1934,1950,0,816,816,1176,1,3,1,6,1,2,2006,114500
53,8472,5,1963,1963,104,0,816,816,1,2,1,5,0,2,2010,110000
54,50271,9,1981,1987,1810,32,1842,1842,0,0,1,5,1,3,2006,385000
55,7134,5,1955,1955,384,0,384,1360,1,3,1,6,1,2,2007,130000
56,10175,6,1964,1964,490,935,1425,1425,2,3,1,7,1,2,2008,180500
57,2645,8,1999,2000,649,321,970,1739,2,3,1,7,0,2,2009,172500
58,11645,7,2004,2004,0,860,860,1720,2,3,1,7,0,2,2006,196500
59,13682,10,2006,2006,0,1410,1410,2945,3,3,1,10,1,3,2006,438780
60,7200,5,1972,1972,632,148,780,780,1,2,1,4,0,1,2008,124900
61,13072,6,2004,2004,941,217,1158,1158,1,3,1,5,0,2,2006,158000
62,7200,5,1920,1996,0,530,530,1111,1,3,1,6,0,1,2007,101000
63,6442,8,2006,2006,24,1346,1370,1370,2,2,1,6,1,2,2007,202500
64,10300,7,1921,1950,0,576,576,1710,2,3,1,9,0,2,2010,140000
65,9375,7,1997,1998,739,318,1057,2034,2,3,1,8,0,2,2009,219500
66,9591,8,2004,2005,0,1143,1143,2473,2,4,1,9,1,3,2007,317000
67,19900,7,1970,1989,912,1035,1947,2207,2,3,1,7,1,2,2010,180000
68,10665,7,2003,2003,1013,440,1453,1479,2,3,1,7,0,2,2007,226000
69,4608,4,1945,1950,0,747,747,747,1,2,1,4,0,1,2010,80000
70,15593,7,1953,1953,603,701,1304,2287,2,3,1,7,1,2,2006,225000
71,13651,7,1973,1973,1880,343,2223,2223,2,3,1,8,2,2,2007,244000
72,7599,4,1982,2006,565,280,845,845,1,2,1,4,0,2,2007,129500
73,10141,7,1998,1998,0,832,832,1718,2,3,1,7,1,2,2009,185000
74,10200,5,1954,2003,320,404,1086,1086,1,3,1,6,0,2,2010,144900
75,5790,3,1915,1950,0,840,840,1605,2,3,2,8,0,1,2010,107400
76,1596,4,1973,1973,462,0,462,988,1,2,1,5,0,1,2009,91000
77,8475,4,1956,1956,228,724,952,952,1,2,1,4,0,1,2008,135750
78,8635,5,1948,2001,336,295,672,1285,1,2,1,6,0,1,2008,127000
79,10778,4,1968,1968,0,1768,1768,1768,2,4,2,8,0,0,2010,136500
80,10440,5,1910,1981,0,440,440,1230,1,2,1,5,0,2,2009,110000
81,13000,6,1968,1968,448,448,896,2142,2,4,1,8,1,1,2009,193500
82,4500,6,1998,1998,1201,36,1237,1337,2,2,1,5,0,2,2006,153500
83,10206,8,2007,2007,33,1530,1563,1563,2,3,1,6,1,3,2008,245000
84,8892,5,1960,1960,0,1065,1065,1065,1,3,1,6,0,2,2007,126500
85,8530,7,1995,1996,0,384,384,1474,2,3,1,7,1,2,2009,168500
86,16059,8,1991,1992,0,1288,1288,2417,2,4,1,9,1,2,2006,260000
87,11911,6,2005,2005,0,684,684,1560,2,3,1,6,1,2,2009,174000
88,3951,6,2009,2009,0,612,612,1224,2,2,1,4,0,2,2009,164500
89,8470,3,1915,1982,0,1013,1013,1526,1,2,1,6,0,0,2009,85000
90,8070,4,1994,1995,588,402,990,990,1,3,1,5,0,0,2007,123600
91,7200,4,1950,1950,0,0,0,1040,1,2,1,4,0,2,2006,109900
92,8500,5,1961,1961,600,635,1235,1235,1,2,1,6,0,2,2006,98600
93,13360,5,1921,2006,713,163,876,964,1,2,1,5,0,2,2009,163500
94,7200,6,1910,1998,1046,168,1214,2291,2,4,2,9,1,2,2007,133900
95,9337,6,1997,1997,648,176,824,1786,2,3,1,7,0,2,2007,204750
96,9765,6,1993,1993,310,370,680,1470,2,3,1,6,1,2,2009,185000
97,10264,7,1999,1999,1162,426,1588,1588,2,3,1,6,0,2,2006,214000
98,10921,4,1965,1965,520,440,960,960,1,3,1,6,0,1,2007,94750
99,10625,5,1920,1950,108,350,458,835,1,2,1,5,0,1,2010,83000
100,9320,4,1959,1959,569,381,950,1225,1,3,1,6,0,0,2010,128950
101,10603,6,1977,2001,1200,410,1610,1610,2,3,1,6,2,2,2010,205000
102,9206,6,1985,1985,0,741,741,1732,2,3,1,7,1,2,2010,178000
103,7018,5,1979,1979,0,0,0,1535,2,4,2,8,0,2,2009,118964
104,10402,7,2009,2009,0,1226,1226,1226,2,3,1,6,0,3,2010,198900
105,7758,7,1931,1950,224,816,1040,1818,1,4,1,7,2,1,2007,169500
106,9375,8,2003,2004,0,1053,1053,1992,2,3,1,9,1,2,2008,250000
107,10800,4,1885,1995,0,641,641,1047,1,2,1,6,0,1,2007,100000
108,6000,5,1948,1950,104,516,789,789,1,2,1,5,0,1,2008,115000
109,8500,5,1919,2005,0,793,793,1517,2,3,1,7,0,0,2007,115000
110,11751,6,1977,1977,705,1139,1844,1844,2,3,1,7,1,2,2010,190000
111,9525,6,1954,1972,444,550,994,1855,2,4,1,7,0,1,2006,136900
112,7750,7,2000,2000,250,134,384,1430,2,3,1,7,1,2,2010,180000
113,9965,7,2007,2007,984,280,1264,2696,2,4,1,10,1,3,2007,383970
114,21000,6,1953,1953,35,905,1809,2259,2,3,1,7,2,2,2007,217000
115,7259,6,1945,2002,774,104,1028,2320,2,3,1,9,1,1,2007,259500
116,3230,6,1999,1999,419,310,729,1458,2,2,1,5,1,2,2007,176000
117,11616,5,1962,1962,170,252,1092,1092,1,3,1,6,1,1,2009,139000
118,8536,5,2006,2007,0,1125,1125,1125,1,2,1,5,0,2,2007,155000
119,12376,7,1990,1990,1470,203,1673,3222,3,5,1,11,2,3,2010,320000
120,8461,6,2005,2006,0,728,728,1456,2,3,1,8,1,2,2006,163990
121,21453,6,1969,1969,938,0,938,988,1,1,1,4,2,2,2006,180000
122,6060,4,1939,1950,0,732,732,1123,1,3,1,4,0,1,2007,100000
123,9464,6,1958,1958,570,510,1080,1080,1,3,1,5,0,1,2008,136000
124,7892,6,1993,1993,300,899,1199,1199,2,2,1,5,0,2,2008,153900
125,17043,6,1979,1998,0,1362,1362,1586,2,3,1,7,1,2,2009,181000
126,6780,6,1935,1982,490,30,520,754,1,2,1,5,0,0,2006,84500
127,4928,6,1976,1976,120,958,1078,958,2,2,1,5,1,2,2007,128000
128,4388,5,1930,1950,116,556,672,840,1,3,1,5,1,0,2007,87000
129,7590,6,1966,1966,512,148,660,1348,1,3,1,6,1,2,2006,155000
130,8973,5,1958,1991,567,413,1008,1053,1,3,1,6,0,2,2006,150000
131,14200,7,1966,1966,445,479,924,2157,2,4,1,8,2,2,2006,226000
132,12224,6,2000,2000,695,297,992,2054,2,3,1,7,1,2,2009,244000
133,7388,5,1959,2002,405,658,1063,1327,1,3,1,7,0,2,2007,150750
134,6853,8,2001,2002,1005,262,1267,1296,2,2,1,6,0,2,2009,220000
135,10335,5,1968,1993,570,891,1461,1721,2,3,1,7,1,2,2006,180000
136,10400,7,1970,1970,0,1304,1304,1682,2,3,1,7,1,2,2008,174000
137,10355,5,1967,1967,695,519,1214,1214,2,3,1,5,1,1,2007,143000
138,11070,7,1988,1989,0,1907,1907,1959,3,5,2,9,0,3,2006,171000
139,9066,8,1999,2000,668,336,1004,1852,2,3,1,7,2,3,2008,230000
140,15426,6,1997,1997,821,107,928,1764,2,3,1,7,0,2,2009,231500
141,10500,4,1971,1971,432,432,864,864,1,3,1,5,1,0,2010,115000
142,11645,7,2005,2005,1300,434,1734,1734,2,3,1,7,0,2,2006,260000
143,8520,5,1952,1952,507,403,910,1385,2,4,1,6,0,2,2010,166000
144,10335,7,1999,1999,679,811,1490,1501,2,3,1,6,0,2,2009,204000
145,9100,5,1963,1963,1332,396,1728,1728,2,6,2,10,0,2,2006,125000
146,2522,6,2004,2006,0,970,970,1709,2,3,1,7,0,2,2006,130000
147,6120,5,1931,1993,209,506,715,875,1,2,1,5,0,1,2009,105000
148,9505,7,2001,2001,0,884,884,2035,2,3,1,8,1,2,2010,222500
149,7500,7,2004,2005,680,400,1080,1080,1,3,1,6,0,0,2008,141000
150,6240,5,1936,1950,0,896,896,1344,1,3,1,7,0,1,2006,115000
151,10356,5,1975,1975,716,253,969,969,1,3,1,5,0,2,2007,122000
152,13891,8,2007,2008,1400,310,1710,1710,2,2,1,6,1,3,2008,372402
153,14803,6,1971,1971,416,409,825,1993,2,4,1,8,1,2,2006,190000
154,13500,6,1960,1975,429,93,1602,1252,1,1,1,4,1,2,2008,235000
155,11340,6,1923,1950,0,1200,1200,1200,1,4,1,7,0,1,2006,125000
156,9600,6,1924,1950,0,572,572,1096,1,2,1,5,0,0,2008,79000
157,7200,5,1950,1950,0,0,0,1040,1,2,1,5,0,2,2006,109500
158,12003,8,2009,2010,0,774,774,1968,2,4,1,8,1,3,2010,269500
159,12552,7,2004,2005,222,769,991,1947,2,3,1,8,1,2,2010,254900
160,19378,7,2005,2006,57,1335,1392,2462,2,4,1,9,1,2,2006,320000
161,11120,6,1984,1984,660,572,1232,1232,2,3,1,6,0,2,2008,162500
162,13688,9,2003,2004,1016,556,1572,2668,2,3,1,10,2,3,2008,412500
163,12182,7,2005,2005,1201,340,1541,1541,2,3,1,7,1,2,2010,220000
164,5500,4,1956,1956,0,882,882,882,1,1,1,4,0,0,2007,103200
